item_id,stem,option_a,fb_a,option_b,fb_b,option_c,fb_c,option_d,fb_d,correct,rationale,rationale_img,subject,topic,difficulty,marks,instant_id,timed_id
RN_MED-S1-11,"In tuberculosis management, which drug is known for causing red-orange discoloration of body fluids?",Isoniazid,Incorrect – may cause peripheral neuropathy but not body-fluid discoloration.,Rifampicin,"Correct – produces harmless red-orange urine, sweat, saliva, and tears due to its pigment.",Ethambutol,"Incorrect – associated with optic neuritis, not discoloration.",Pyrazinamide,Incorrect – mainly causes hepatotoxicity and gout.,B,Rifampicin commonly stains body fluids red-orange; patients must be counseled that this is harmless and expected to ensure adherence.,,Medical Nursing,Infectious Diseases,Easy,1,RN_MED-F-I5,RN_MED-F-T1
RN_MED-S1-12,Which of the following electrolytes is predominantly intracellular?,Potassium,Correct – major intracellular cation essential for neuromuscular function and resting-membrane potential.,Sodium,Incorrect – mainly extracellular and regulates water balance.,Calcium,Incorrect – largely stored in bone; only small extracellular fractions are active.,Chloride,Incorrect – principal extracellular anion accompanying sodium.,A,"Potassium concentration is highest inside cells, vital for cardiac rhythm and muscle excitability; sodium predominates extracellularly.",,Medical Nursing,Fluids & Electrolytes,Easy,1,RN_MED-F-I5,RN_MED-F-T1
RN_MED-S1-13,"A client with pneumonia has chills, fever, and productive cough. Which breath sound would you expect?",Crackles (rales),Correct – caused by air moving through fluid-filled alveoli.,Wheeze,Incorrect – sign of bronchial narrowing as in asthma.,Pleural rub,"Incorrect – results from inflamed pleural surfaces, not alveolar exudate.",Stridor,Incorrect – high-pitched inspiratory sound of upper-airway obstruction.,A,"Pneumonia fills alveoli with exudate leading to fine or coarse crackles; wheeze suggests asthma, stridor upper obstruction, rub indicates pleural inflammation.",,Medical Nursing,Respiratory,Moderate,1,RN_MED-F-I5,RN_MED-F-T1
RN_MED-S1-14,A patient with deep-vein thrombosis develops sudden shortness of breath. What is the nurse’s immediate concern?,Stroke,"Incorrect – neurologic symptoms, not dyspnea, dominate stroke presentation.",Pulmonary embolism,Correct – a clot migration to the lungs causes acute dyspnea and chest pain.,Pleural effusion,"Incorrect – develops gradually, not suddenly.",Myocardial infarction,Incorrect – causes chest pain but not typically preceded by DVT.,B,"A pulmonary embolism occurs when part of a venous clot travels to the pulmonary arteries, causing abrupt hypoxia; rapid recognition and emergency management are crucial.",,Medical Nursing,Cardiovascular : Emergency,Hard,1,RN_MED-F-I5,RN_MED-F-T1
RN_MED-S1-15,Which vitamin enhances absorption of iron from the gastrointestinal tract?,Vitamin D,"Incorrect – facilitates calcium, not iron absorption.",Vitamin C,"Correct – reduces ferric (Fe³⁺) to ferrous (Fe²⁺) iron, increasing uptake.",Vitamin B12,Incorrect – needed for erythropoiesis but doesn’t aid absorption.,Vitamin A,"Incorrect – supports vision and epithelial health, not iron metabolism.",B,Ascorbic acid (vit C) enhances dietary iron absorption by maintaining iron in its ferrous form; concurrent intake with iron tablets improves bioavailability.,,Medical Nursing,Nutrition,Easy,1,RN_MED-F-I5,RN_MED-F-T1
RN_MED-S1-16,The first sign of digoxin toxicity is usually:,Hypotension,Incorrect – may occur later with severe toxicity.,Nausea and vomiting,Correct – early GI manifestations precede visual and cardiac effects.,Skin rash,Incorrect – not a typical symptom.,Constipation,Incorrect – digoxin more often causes anorexia or diarrhea.,B,"GI upset (nausea, vomiting, anorexia) often precedes cardiac arrhythmias in digoxin toxicity; early detection allows drug withdrawal before serious dysrhythmia develops.",,Medical Nursing,Pharmacology,Moderate,1,RN_MED-F-I5,RN_MED-F-T1
RN_MED-S1-17,A client with asthma presents with prolonged expirations and wheezing. What is the likely pathophysiology?,Bronchial constriction,Incorrect – partially true but incomplete; inflammation also central.,Alveolar fluid accumulation,"Incorrect – seen in pneumonia, not asthma.",Bronchospasm and airway inflammation,Correct – key mechanisms narrowing airways and causing wheeze.,Pulmonary embolism,Incorrect – causes sudden dyspnea without wheeze.,C,"Asthma involves reversible bronchospasm, mucosal edema, and mucus hypersecretion leading to airflow obstruction and characteristic wheezing on expiration.",,Medical Nursing,Respiratory,Moderate,1,RN_MED-F-I5,RN_MED-F-T1
RN_MED-S1-18,What dietary advice should be given to a client taking isoniazid (INH)?,Increase intake of fatty foods,Incorrect – adds no benefit and may strain the liver.,Supplement with Vitamin B6,Correct – prevents peripheral neuropathy due to pyridoxine depletion.,Avoid citrus fruits,Incorrect – no contraindication; vitamin C is safe.,Take with antacids,Incorrect – antacids reduce INH absorption.,B,"INH interferes with pyridoxine metabolism, leading to neuropathy; daily vitamin B6 supplementation (10–50 mg) prevents this without affecting therapy efficacy.",,Medical Nursing,Pharmacology : Nutrition,Moderate,1,RN_MED-F-I5,RN_MED-F-T1
RN_MED-S1-19,A nurse caring for a patient with hepatic encephalopathy would expect which of the following signs?,Asterixis (flapping tremor),Correct – involuntary hand flapping due to ammonia toxicity.,Tinnitus,"Incorrect – ear-related, not hepatic.",Hyporeflexia,Incorrect – not characteristic.,Myalgia,Incorrect – muscle pain unrelated to liver failure.,A,"Elevated ammonia affects brain function, producing confusion and asterixis; managing protein intake and administering lactulose reduce ammonia levels.",,Medical Nursing,Gastrointestinal : Hepatic,Hard,1,RN_MED-F-I5,RN_MED-F-T1
RN_MED-S1-20,"A nurse is monitoring a patient receiving a blood transfusion. Fifteen minutes in, the patient complains of chills and back pain. What is the priority action?",Stop the transfusion immediately,Correct – first response to suspected acute hemolytic reaction.,Continue at a slower rate,Incorrect – may worsen the reaction.,Reassure the patient,Incorrect – delays urgent management.,Administer antihistamines,Incorrect – secondary step after stopping transfusion and notifying physician.,A,"Chills, fever, and back pain signify acute hemolytic transfusion reaction from incompatible blood; immediate cessation prevents renal failure and shock.",,Medical Nursing,Hematology : Transfusion,Easy,1,RN_MED-F-I5,RN_MED-F-T1
RN_MED-S1-21,Which of the following is most characteristic of nephrotic syndrome?,Hematuria,"Incorrect – common in nephritic, not nephrotic, syndrome.",Proteinuria and edema,Correct – hallmark features caused by glomerular protein loss and hypoalbuminemia.,Hypertension and glycosuria,Incorrect – hypertension may occur but glycosuria relates to diabetes.,Polyuria and polydipsia,Incorrect – typical of diabetes mellitus.,B,"Nephrotic syndrome results from glomerular injury causing massive protein loss, decreased plasma oncotic pressure, and generalized edema; hematuria predominates in nephritic forms.",,Medical Nursing,Renal,Moderate,1,RN_MED-F-I5,RN_MED-F-T1
RN_MED-S1-22,"A patient with type 1 diabetes presents with fruity breath, deep rapid breathing, and confusion. What is the likely diagnosis?",Hypoglycemia,"Incorrect – causes sweating, tremor, and irritability, not fruity breath.",Hyperosmolar hyperglycemic state,Incorrect – occurs in type 2 diabetes without ketosis.,Diabetic ketoacidosis,Correct – metabolic acidosis with ketone buildup causing Kussmaul respirations and fruity odor.,Lactic acidosis,"Incorrect – seen in hypoxia, not linked to fruity breath.",C,"DKA stems from insulin deficiency, leading to lipolysis and ketone formation; hallmark signs include dehydration, Kussmaul breathing, fruity breath, and metabolic acidosis requiring insulin and fluids.",,Medical Nursing,Endocrinology,Moderate,1,RN_MED-F-I5,RN_MED-F-T1
RN_MED-S1-23,A patient on chemotherapy develops a low white blood cell count. What is the priority nursing intervention?,Encourage frequent visitors,Incorrect – increases infection risk.,Provide high-protein meals,Incorrect – helpful for nutrition but not infection prevention.,Implement neutropenic precautions,Correct – protects against infection when WBC < 1.0 × 10⁹/L.,Offer oral fluids,Incorrect – hydration important but not priority.,C,"Neutropenia from bone-marrow suppression demands strict asepsis, hand hygiene, avoiding crowds, and screening visitors to prevent life-threatening infections.",,Medical Nursing,Hematology,Easy,1,RN_MED-F-I5,RN_MED-F-T1
RN_MED-S1-24,Which clinical sign is most specific for meningitis?,Hyperreflexia,Incorrect – nonspecific neurologic sign.,Hypothermia,"Incorrect – fever is typical, not hypothermia.",Positive Kernig’s sign,Correct – leg pain and resistance on extension indicate meningeal irritation.,Shuffling gait,Incorrect – seen in Parkinsonism.,C,Meningeal irritation causes Kernig’s and Brudzinski’s signs; early recognition prompts lumbar puncture and antibiotics to prevent neurologic complications.,,Medical Nursing,Neurology : Infectious Disease,Moderate,1,RN_MED-F-I5,RN_MED-F-T1
RN_MED-S1-25,"A 70-year-old male has resting tremors, rigidity, and shuffling gait. These symptoms are most consistent with:",Parkinson’s disease,Correct – degeneration of dopaminergic neurons causes these motor features.,Alzheimer’s disease,Incorrect – leads mainly to memory loss.,Bell’s palsy,"Incorrect – facial nerve paralysis, not tremor.",Multiple sclerosis,"Incorrect – causes spasticity and visual changes, not resting tremor.",A,"Parkinson’s disease is a chronic neurodegenerative disorder with dopamine deficiency in the basal ganglia, producing resting tremor, rigidity, bradykinesia, and shuffling gait.",,Medical Nursing,Neurology,Easy,1,RN_MED-F-I5,RN_MED-F-T1
RN_MED-S1-26,Which vitamin deficiency is most likely to cause night blindness?,Vitamin D,"Incorrect – affects bone health, not vision.",Vitamin C,Incorrect – deficiency causes scurvy.,Vitamin A,Correct – essential for retinal photoreceptor function.,Vitamin K,"Incorrect – required for clotting, not vision.",C,"Vitamin A forms retinal pigments needed for dim-light vision; deficiency leads to xerophthalmia and night blindness, especially in malnutrition.",,Medical Nursing,Nutrition,Easy,1,RN_MED-F-I5,RN_MED-F-T1
RN_MED-S1-27,"The nurse understands that in Guillain-Barré syndrome, the main concern is:",Respiratory muscle paralysis,Correct – ascending paralysis can involve the diaphragm.,Visual disturbances,Incorrect – not characteristic.,Renal failure,Incorrect – unrelated.,Spasticity,"Incorrect – paralysis is flaccid, not spastic.",A,Guillain-Barré is an acute demyelinating neuropathy causing rapidly ascending weakness; monitoring respiratory function is critical as diaphragmatic paralysis may necessitate ventilation.,,Medical Nursing,Neurology,Hard,1,RN_MED-F-I5,RN_MED-F-T1
RN_MED-S1-28,A patient with heart failure is prescribed furosemide. What lab value should the nurse monitor closely?,Sodium,Incorrect – may decrease mildly but not primary risk.,Potassium,Correct – loop diuretics promote potassium loss leading to arrhythmias.,Glucose,Incorrect – rarely affected significantly.,Creatinine kinase,"Incorrect – enzyme relates to muscle injury, not diuretic therapy.",B,"Furosemide increases urinary excretion of sodium and potassium; monitoring and replacement prevent hypokalemia, muscle cramps, and dangerous dysrhythmias.",,Medical Nursing,Cardiovascular : Pharmacology,Easy,1,RN_MED-F-I5,RN_MED-F-T1
RN_MED-S1-29,Which of the following is the antidote for heparin overdose?,Vitamin K,"Incorrect – reverses warfarin, not heparin.",Protamine sulfate,Correct – binds and neutralizes heparin molecules.,Atropine,Incorrect – used for bradycardia.,Naloxone,"Incorrect – opioid antagonist, not anticoagulant antidote.",B,"Protamine sulfate, a positively charged protein, forms inactive complexes with negatively charged heparin, quickly reversing its anticoagulant effect during overdose or bleeding.",,Medical Nursing,Pharmacology,Easy,1,RN_MED-F-I5,RN_MED-F-T1
RN_MED-S1-30,A patient has excessive uric acid and recurrent joint inflammation. What is the most likely diagnosis?,Rheumatoid arthritis,"Incorrect – autoimmune disorder, not uric acid related.",Lupus,Incorrect – systemic autoimmune disease affecting multiple organs.,Gout,Correct – crystal-induced arthritis from hyperuricemia.,Osteoarthritis,Incorrect – degenerative joint disease unrelated to urate levels.,C,"Gout results from uric-acid crystal deposition in joints, producing acute pain and inflammation, typically in the great toe; management includes allopurinol, NSAIDs, and lifestyle modification.",,Medical Nursing,Musculoskeletal,Moderate,1,RN_MED-F-I5,RN_MED-F-T1
RN_MED-S1-31,A nurse observes that a patient with pneumonia is now confused. What is the most likely cause?,Medication overdose,Incorrect – no sedatives or narcotics implied; unlikely.,Hypoxia,"Correct – low oxygen delivery to the brain causes restlessness or confusion, especially in older adults.",High fever,Incorrect – fever may cause malaise but not abrupt confusion.,Electrolyte imbalance,Incorrect – possible but less common in acute pneumonia.,B,Hypoxia is the most probable cause of new confusion in a pneumonia patient; elderly individuals are particularly sensitive to cerebral oxygen deprivation. Prompt oxygen therapy and reassessment are vital.,,Medical Nursing,Respiratory,Moderate,1,RN_MED-F-I5,RN_MED-F-T1
RN_MED-S1-32,The Mantoux test is used to screen for which disease?,HIV,"Incorrect – diagnosed by antibody/antigen tests, not skin testing.",Tuberculosis,Correct – detects delayed hypersensitivity to purified protein derivative (PPD).,Pneumonia,Incorrect – diagnosed by sputum and X-ray.,Asthma,Incorrect – not infectious or tested by skin induration.,B,"The Mantoux or tuberculin skin test identifies prior sensitization to Mycobacterium tuberculosis by measuring induration after 48–72 hours, aiding TB screening.",,Medical Nursing,Infectious Disease,Easy,1,RN_MED-F-I5,RN_MED-F-T1
RN_MED-S1-33,What is the primary mechanism of action of beta-blockers in treating hypertension?,Vasoconstriction,Incorrect – they cause vasodilation indirectly.,Diuresis,Incorrect – not their main effect.,Decreased cardiac output,"Correct – beta-blockers slow heart rate and contractility, lowering BP.",Increased preload,Incorrect – they actually reduce cardiac workload.,C,"Beta-blockers antagonize β-adrenergic receptors, reducing heart rate, myocardial contractility, and renin release, thus decreasing cardiac output and blood pressure.",,Medical Nursing,Pharmacology,Moderate,1,RN_MED-F-I5,RN_MED-F-T1
RN_MED-S1-34,Which type of anemia results from folic acid deficiency?,Microcytic anemia,Incorrect – due to iron deficiency.,Macrocytic anemia,Correct – caused by defective DNA synthesis in RBCs.,Normocytic anemia,Incorrect – seen in acute blood loss or chronic disease.,Hypochromic anemia,Incorrect – refers to reduced hemoglobin concentration.,B,"Folic-acid deficiency leads to megaloblastic changes producing large, immature RBCs; replacement corrects anemia and prevents neural-tube defects in pregnancy.",,Medical Nursing,Hematology,Moderate,1,RN_MED-F-I5,RN_MED-F-T1
RN_MED-S1-35,"In asthma management, which of the following drugs is used as a long-term controller?",Salbutamol,Incorrect – short-acting β₂ agonist for acute attacks.,Beclomethasone,Correct – inhaled corticosteroid that prevents inflammation and exacerbations.,Epinephrine,Incorrect – used for severe acute attacks only.,Aminophylline,Incorrect – rarely used; narrow therapeutic index.,B,"Inhaled corticosteroids (e.g., beclomethasone) suppress airway inflammation and hyper-responsiveness, forming the cornerstone of chronic asthma control.",,Medical Nursing,Respiratory,Moderate,1,RN_MED-F-I5,RN_MED-F-T1
RN_MED-S1-36,Which of the following laboratory findings is common in liver failure?,Prolonged prothrombin time,Correct – impaired synthesis of clotting factors increases PT/INR.,Increased platelet count,Incorrect – thrombocytopenia often occurs instead.,Decreased ammonia levels,Incorrect – ammonia accumulates due to poor detoxification.,Hypercalcemia,Incorrect – calcium usually normal or low.,A,"The failing liver cannot produce adequate clotting factors, prolonging PT; elevated ammonia also leads to encephalopathy, highlighting impaired metabolic and synthetic functions.",,Medical Nursing,Hepatic,Moderate,1,RN_MED-F-I5,RN_MED-F-T1
RN_MED-S1-37,What complication is the nurse most concerned about in a patient with hyperkalemia?,Muscle cramping,Incorrect – common but not the main danger.,Cardiac arrhythmias,"Correct – elevated K⁺ alters cardiac conduction, risking ventricular fibrillation.",Constipation,Incorrect – unrelated to potassium.,Respiratory depression,Incorrect – not typical.,B,"Hyperkalemia disturbs myocardial electrical activity, producing peaked T waves, widened QRS, and fatal arrhythmias; cardiac monitoring and emergency management are priorities.",,Medical Nursing,Electrolytes,Moderate,1,RN_MED-F-I5,RN_MED-F-T1
RN_MED-S1-38,A patient with vitamin B12 deficiency may present with which neurological symptom?,Tremors,"Incorrect – seen in Parkinson’s, not B12 deficiency.",Aphasia,Incorrect – language deficit unrelated to B12.,Paresthesia and ataxia,Correct – caused by demyelination of posterior and lateral spinal columns.,Seizures,Incorrect – rare in this deficiency.,C,"Vitamin B12 deficiency causes impaired myelin formation leading to neuropathy, numbness, gait ataxia, and cognitive changes; early replacement prevents permanent damage.",,Medical Nursing,Hematology : Neurology,Hard,1,RN_MED-F-I5,RN_MED-F-T1
RN_MED-S1-39,A nurse preparing to give subcutaneous insulin knows the best site is:,Deltoid muscle,"Incorrect – muscular, not subcutaneous.",Abdomen,Correct – offers fastest and most consistent absorption.,Gluteus maximus,Incorrect – absorption slower and variable.,Forearm,"Incorrect – thin tissue, increased risk of intramuscular injection.",B,The abdominal subcutaneous area ensures stable insulin absorption due to uniform fat thickness; rotation within this area prevents lipodystrophy.,,Medical Nursing,Endocrinology,Easy,1,RN_MED-F-I5,RN_MED-F-T1
RN_MED-S1-40,Which of the following signs is specific for appendicitis?,McMurray’s sign,Incorrect – tests meniscal tear in the knee.,McBurney’s point tenderness,Correct – pain one-third the distance from the anterior superior iliac spine to the umbilicus indicates appendiceal irritation.,Murphy’s sign,Incorrect – seen in cholecystitis.,Tinel’s sign,Incorrect – tests for carpal tunnel syndrome.,B,"Localized right-lower-quadrant tenderness at McBurney’s point, with rebound pain and guarding, strongly suggests appendicitis; urgent surgical evaluation is required.",,Medical Nursing,Gastrointestinal,Easy,1,RN_MED-F-I5,RN_MED-F-T1
RN_MED-S1-41,A patient with peptic ulcer disease should avoid which of the following substances?,Yogurt,Incorrect – soothing and non-irritating to gastric mucosa.,Boiled vegetables,Incorrect – easily digested and recommended.,NSAIDs,Correct – damage the mucosa by inhibiting prostaglandin synthesis.,Milk,Incorrect – may buffer acid briefly but stimulates acid rebound.,C,"NSAIDs inhibit prostaglandin production, reducing mucosal protection and delaying ulcer healing; patients should avoid them to prevent re-bleeding or perforation.",,Medical Nursing,Gastrointestinal,Easy,1,RN_MED-F-I5,RN_MED-F-T1
RN_MED-S1-42,Which of the following ECG findings is associated with hyperkalemia?,U waves,Incorrect – seen in hypokalemia.,Peaked T waves,Correct – early sign of myocardial repolarization disturbance.,Shortened PR interval,Incorrect – PR often prolonged.,ST depression,Incorrect – typical of ischemia or hypokalemia.,B,"Rising serum potassium shortens repolarization, producing tall, tented T waves followed by QRS widening and sine-wave pattern if untreated; prompt correction prevents cardiac arrest.",,Medical Nursing,Cardiovascular,Hard,1,RN_MED-F-I5,RN_MED-F-T1
RN_MED-S1-43,Which diagnostic test confirms sickle cell disease?,Complete blood count,Incorrect – shows anemia but not type of hemoglobin.,Serum ferritin,Incorrect – reflects iron stores only.,Hemoglobin electrophoresis,Correct – separates Hb fractions and detects Hb S.,Reticulocyte count,"Incorrect – indicates marrow activity, not diagnosis.",C,"Hemoglobin electrophoresis differentiates normal Hb A from abnormal Hb S, confirming sickle cell disease and distinguishing trait from full disease.",,Medical Nursing,Hematology,Moderate,1,RN_MED-F-I5,RN_MED-F-T1
RN_MED-S1-44,"In a patient with chronic renal failure, which lab value is most expected?",Hypophosphatemia,Incorrect – phosphate increases because of retention.,Hyperkalemia,Correct – reduced renal excretion leads to potassium accumulation.,Low creatinine,Incorrect – creatinine rises in renal failure.,Low BUN,Incorrect – BUN elevates with poor clearance.,B,"Chronic renal failure causes retention of potassium, urea, and creatinine; hyperkalemia is life-threatening due to risk of dysrhythmia and needs close ECG monitoring.",,Medical Nursing,Renal,Moderate,1,RN_MED-F-I5,RN_MED-F-T1
RN_MED-S1-45,Which microorganism is the most common cause of community-acquired pneumonia?,Mycobacterium tuberculosis,"Incorrect – causes chronic pulmonary infection, not typical CAP.",Streptococcus pneumoniae,Correct – most frequent bacterial cause of CAP worldwide.,Klebsiella pneumoniae,Incorrect – affects alcoholics or debilitated patients.,Pseudomonas aeruginosa,Incorrect – common in hospital-acquired infections.,B,Streptococcus pneumoniae remains the leading cause of community-acquired pneumonia; timely antibiotics and vaccination reduce morbidity and mortality.,,Medical Nursing,Infectious Diseases,Moderate,1,RN_MED-F-I5,RN_MED-F-T1
RN_MED-S1-46,Which dietary intervention is most appropriate for a patient with Meniere’s disease?,Low sodium diet,Correct – reduces endolymphatic fluid pressure in the inner ear.,High protein diet,Incorrect – unrelated to fluid balance.,Gluten-free diet,Incorrect – no link to Meniere’s pathophysiology.,Low fat diet,"Incorrect – affects lipid metabolism, not vertigo episodes.",A,"Sodium restriction limits fluid retention within the labyrinth, decreasing vertigo and tinnitus frequency; caffeine and alcohol should also be minimized.",,Medical Nursing,Neurology,Easy,1,RN_MED-F-I5,RN_MED-F-T1
RN_MED-S1-47,Which medication is commonly prescribed to reduce uric acid in chronic gout?,Indomethacin,"Incorrect – treats acute pain, not uric-acid levels.",Allopurinol,Correct – inhibits xanthine oxidase to lower serum uric acid.,Aspirin,Incorrect – low doses elevate uric acid.,Colchicine,Incorrect – prevents inflammation during flare but not long-term control.,B,"Allopurinol decreases uric-acid production, preventing crystal deposition and future gout attacks; continued even when asymptomatic to maintain low urate levels.",,Medical Nursing,Musculoskeletal,Moderate,1,RN_MED-F-I5,RN_MED-F-T1
